School_ID,Short_Name,Year,Rating_Status,Graduation_Rate_School,School_Type,College_Enrollment_Rate_School,Dimension_1,Dimension_2
610163,STOCK,2016-2017,Good Standing,,Neighborhood,,-0.920225065962647,0.07543229624599355
610558,GOODE HS,2016-2017,Good Standing,,Citywide-Option,,1.019742945585599,0.3638954872592358
609750,SIMPSON HS,2016-2017,Provisional Support,21.4,Citywide-Option,,-3.1137598476586312,-3.3572643629390257
610123,PENN,2016-2017,Good Standing,,Neighborhood,,-0.9526726858825153,0.6817321242504347
610227,WHITNEY,2016-2017,Good Standing,,Neighborhood,,2.0237196974920857,-1.5558788702249833
610056,MASON,2016-2017,Provisional Support,,Small,,-0.9046539546831786,0.9216613974381379
609748,YORK HS,2016-2017,Good Standing,1.7,Citywide-Option,5.1,-4.6397059366854,-7.231017134159474
610030,KOZMINSKI,2016-2017,Intensive Support,,Neighborhood,,-1.2509093284089392,0.6424988969682728
610369,JACKSON M,2016-2017,Intensive Support,,Neighborhood,,-1.0236241482813018,0.8511583878999525
609828,BURR,2016-2017,Good Standing,,Neighborhood,,-0.29311532619928965,-0.08519228414411519
610563,BACK OF THE YARDS HS,2016-2017,Good Standing,,Neighborhood,,2.5344362938744838,-1.4967361428392538
610112,PARKER,2016-2017,Intensive Support,,Neighborhood,,-0.6827707619355412,1.1349012398411
609951,ARIEL,2016-2017,Good Standing,,Small,,-0.5630001634645392,1.2326009584490045
609869,LANGFORD,2016-2017,Intensive Support,,Neighborhood,,-1.2072102200847987,0.6450461279091585
610021,CASALS,2016-2017,Intensive Support,,Neighborhood,,-0.5037735992021063,0.15888798422547057
609930,FUNSTON,2016-2017,Provisional Support,,Neighborhood,,-0.16168772629195025,-0.41627892632078045
610520,LASALLE II,2016-2017,Good Standing,,Magnet,,-0.0072640041523907295,0.05744074863933871
610221,WEBSTER,2016-2017,Good Standing,,Neighborhood,,-1.0768492631639086,0.7709898733649725
609896,DRUMMOND,2016-2017,Good Standing,,Magnet,,-0.6515542470591134,0.0060488334602377125
610254,DVORAK,2016-2017,Intensive Support,,Neighborhood,,-0.9377986176730901,0.9253635985862183
609966,HAMMOND,2016-2017,Provisional Support,,Neighborhood,,-0.21046305645140445,-0.4548213879871532
610158,SAYRE,2016-2017,Provisional Support,,Neighborhood,,-0.5116045172620679,0.26631176389576333
610506,TEAM HS,2016-2017,Intensive Support,73.9,Small,50.7,-1.9223085068017864,-0.3197945997260617
610389,ORR HS,2016-2017,Intensive Support,39.0,Neighborhood,45.3,-2.38744510262431,-2.5343201757622804
610115,PARK MANOR,2016-2017,Good Standing,,Neighborhood,,-1.0180521882769737,0.7389886886699535
610135,PORTAGE PARK,2016-2017,Good Standing,,Neighborhood,,1.8153571466909773,-0.9071662556517591
609790,BARTON,2016-2017,Intensive Support,,Neighborhood,,-0.9304434970810365,0.9004733906146991
609912,FARNSWORTH,2016-2017,Good Standing,,Neighborhood,,0.7124147703635497,-0.27483055521020827
610193,NEW SULLIVAN,2016-2017,Provisional Support,,Neighborhood,,-0.4341163656312836,0.745658845884606
609792,BATEMAN,2016-2017,Good Standing,,Neighborhood,,2.0567649049691608,-1.205660620868378
610245,DOUGLASS HS,2016-2017,Intensive Support,56.3,Neighborhood,20.7,-3.258897853385912,-3.0991122274776814
610252,DETT,2016-2017,Intensive Support,,Neighborhood,,-1.1065843718465502,0.7288996596555083
609718,KENNEDY HS,2016-2017,Good Standing,68.8,Neighborhood,59.5,4.3753052084211745,-2.369780544167133
610390,RICKOVER MILITARY HS,2016-2017,Good Standing,87.6,Military academy,63.3,0.8435376079688064,0.3969502704001484
609799,BELL,2016-2017,Good Standing,,Regional gifted center,,1.420844313591352,-0.05109081029365814
609852,CHAPPELL,2016-2017,Good Standing,,Neighborhood,,0.3574048590702681,-0.36858719938342793
